Continent,location,total_cases,new_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters,stringency_index,population_density,gdp_per_capita,year
Asia,China,7622882.311,85439.31293,3154666667,2522480203,1258064783,663345904.8,71.47002791,147.674,15308.712,2021.114655
Asia,India,25593151.99,38624.99654,366022136.3,1345552058,718614908.2,123101834,58.9955814,450.419,6426.674,2021.122747
Asia,Japan,6298004.397,28676.28534,15507505.87,218901501.2,83140355.98,90175735.05,41.10778605,347.778,39002.223,2021.116279
Asia,Malaysia,2074779.728,4348.256897,19369939.84,51262976.92,21644498.75,12682476.86,50.01295814,96.254,26808.164,2021.122747
Asia,Singapore,629446.9982,1922.905172,,9434198.206,4031822.496,3184003.14,44.18006512,7915.731,85535.383,2021.114655
North America,Bermuda,7289.454294,16.21896552,15191.45455,77902.60294,35843.98333,27257.85,40.83536744,1308.82,50669.315,2021.114655
North America,Canada,1963156.885,3979.774221,28939633.35,59483811.9,25085427.07,12421030.09,51.29404651,4.037,44017.591,2021.114655
North America,Greenland,4727.477419,10.31982759,,47799.02326,27330.65625,,31.38162791,0.137,,2021.114655
North America,Mexico,3596769.873,6451.341969,6365760.999,80852333.27,45943680.77,52594355.74,45.11731163,66.444,17336.469,2021.112737
North America,United States,46232664.83,88372.85393,410386446.7,455788895,209705280.1,53826190.35,49.372,35.608,54225.446,2021.119518
Europe,France,13537581.46,33223.23103,108493422.3,104547598.7,43300977.61,23825483.6,43.09853953,122.578,38605.671,2021.119518
Europe,Germany,11781849,32949.70948,56176681.19,129647314.6,51638351.34,38710864.8,46.97628837,237.016,45229.245,2021.122747
Europe,Italy,8830949.67,22148.36505,74616634.26,97526226.29,39967345.83,34104874.2,53.30565581,205.859,35220.084,2021.121134
Europe,Spain,6144252.767,11901.8401,41747828.21,54399016.99,27329762.1,16173859.83,46.3124,93.105,34272.36,2021.114655
Europe,United Kingdom,10656695.95,21104.26817,185604641.2,100736230.5,44615350.76,32309665.07,43.89986977,272.898,39753.244,2021.114655
South America,Argentina,5145754.833,8674.401554,13807351.84,70175550.18,30535412.5,14629771.61,53.45413953,16.177,18933.907,2021.119211
South America,Brazil,19032153.1,32045.48487,34192178.01,288514990.8,133768560.4,73750529.48,49.49085581,25.04,14103.452,2021.121134
South America,Colombia,3829895.181,5518.883882,17041000.67,38961688.82,22647196.58,8198852.778,51.64713488,44.223,13254.949,2021.114655
South America,Paraguay,388742.6792,634.2318966,1021678.679,2871208.931,1411872.955,1292633.068,44.5332,17.144,8827.01,2021.114655
South America,Peru,2265433.131,3871.295945,11343546.39,51564712.65,20766972.24,18021928.26,54.66253953,25.129,12236.706,2021.119518
Australia,Fiji,33760.74908,59.39396552,125473.146,1169010.112,591909.2371,154805.625,55.07908837,49.562,8702.975,2021.114655
Australia,Kiribati,3351.951574,4.322413793,,113137.5769,64790.65385,17417.63636,25.68580465,143.701,1981.132,2021.114655
Australia,New Zealand,520620.4774,1877.91113,2172494.394,7704209.39,3170522.79,1730500.371,35.50019535,18.206,36085.843,2021.114655
Australia,Tokelau,5,0.004310345,,2372.125,1158,932.6666667,,,,2021.114655
Australia,Tonga,10001.24089,14.49137931,,108577.5641,56519.25641,35485.81818,46.49618605,150.028,5425.621,2021.114655
Africa,Mauritius,99554.73063,255.2086207,974974.3333,1833367.475,826600.5593,607370.3226,34.97629767,622.962,20292.745,2021.114655
Africa,Morocco,725812.6694,1096.974138,5200850.776,27363281.73,14907204,6507465.561,54.84648372,80.08,7485.013,2021.114655
Africa,South Africa,2370931.908,3501.360345,11533898.28,24944798.11,15488968.84,3057961.652,44.712,46.754,12294.876,2021.114655
Africa,Tanzania,18699.56814,36.9362069,441724.5,14557131.41,13298997.19,7171363,15.18884651,64.699,2683.304,2021.114655
Africa,Uganda,95594.79186,147.1087144,1077752.741,5301589.964,5133156.67,241185.1,54.80951628,213.759,1697.707,2021.114655
