time,valueA,valueB,valueC
0,632.43,1190.2,1327.15
1,649.08,1210.7,1295.1
2,657.76,1193.71,1258.96
3,665.82,1174.28,1221.72
4,672.01,1154.95,1184.65
5,674.67,1133.51,1154.92
6,683.09,1121.04,1120.48
7,683.07,1096.59,1086.18
8,691.04,1073.3,1050.31
9,691.59,1050.54,1013.89
10,691.8,1026.35,977.59
11,691.82,1002.22,941.93
12,692.0,978.06,907.1
13,692.07,954.67,872.66
14,692.59,932.02,838.17
15,691.06,908.39,801.71
16,691.46,887.95,767.42
17,691.69,867.6,733.61
18,692.09,846.62,701.06
19,685.08,824.12,661.14
20,682.23,809.25,633.17
