Year,Freshwater use
1901,671306983873
1902,685160582511
1903,655134883737
1904,699576268956
1905,700946862061
1906,696602977599
1907,731144772386
1908,719471701227
1909,728901391069
1910,721299647144
1911,745680720540
1912,767006346937
1913,815330197706
1914,786612865433
1915,795361689794
1916,787231952020
1917,775639802130
1918,866090893167
1919,836046221526
1920,884507213764
1921,843070029162
1922,871840024725
1923,871314812056
1924,889083480856
1925,924787108685
1926,897784782426
1927,942226756274
1928,948217636750
1929,971752096730
1930,953917032232
1931,933752708438
1932,975080407692
1933,947880055696
1934,1001227847427
1935,1017967168166
1936,1030140139854
1937,1037521711280
1938,1068636917459
1939,1101694892511
1940,1110057100858
1941,1127967315874
1942,1118901725058
1943,1138661531039
1944,1142668949683
1945,1141481848418
1946,1177734201509
1947,1178084072050
1948,1183911222473
1949,1193998559818
1950,1226581492652
1951,1328106361712
1952,1379031417592
1953,1373804788386
1954,1372677661659
1955,1424773252538
1956,1457353328546
1957,1567294694315
1958,1576923377182
1959,1638316188497
1960,1751856694173
1961,1765317094855
1962,1836014016143
1963,1919424571799
1964,1946670963025
1965,2094529301420
1966,2155354004443
1967,2133103824801
1968,2349150276457
1969,2358734737509
1970,2362057426681
1971,2435749010145
1972,2547232873087
1973,2606315331685
1974,2724754347202
1975,2638242268253
1976,2739688119549
1977,2790536167979
1978,2991132085753
1979,3110120552704
1980,3073437838693
1981,3053974246703
1982,3067192207543
1983,3033538895562
1984,3115820776136
1985,3128754701301
1986,3233087696664
1987,3271390124759
1988,3338411792004
1989,3369048487620
1990,3321357298152
1991,3417687603175
1992,3319438058851
1993,3358249157599
1994,3464070203270
1995,3420212914562
1996,3338874861936
1997,3441859120538
1998,3495761711662
1999,3651048141907
2000,3785948890323
2001,3861642393124
2002,3806857575151
2003,3723071436326
2004,3852973536488
2005,3827437377208
2006,3992199319449
2007,4003664798444
2008,3948326264862
2009,4072946984929
2010,3871886184482
2014,3985681600000
