Year,san_sm,san_bas_minus_sm,san_lim,san_unimp,san_od
2000,5794.11,2956.04,632.43,1190.2,1327.15
2001,5896.49,3048.58,649.08,1210.7,1295.1
2002,6018.89,3070.68,657.76,1193.71,1258.96
2003,6072.71,3065.44,665.82,1174.28,1221.72
2004,6136.54,3051.92,672.01,1154.95,1184.65
2005,6224.27,3112.67,674.67,1133.51,1154.92
2006,6372.22,3203.08,683.09,1121.04,1120.48
2007,6447.28,3186.86,683.07,1096.59,1086.18
2008,6547.08,3238.29,691.04,1073.3,1050.31
2009,6712.89,3231.13,691.59,1050.54,1013.89
2010,6801.57,3202.64,691.8,1026.35,977.59
2011,6891.62,3172.32,691.82,1002.22,941.9300000000001
2012,6981.14,3141.75,692.0,978.06,907.1
2013,7062.84,3117.69,692.07,954.67,872.66
2014,7144.25,3093.0299999999997,692.59,932.02,838.17
2015,7174.68,3024.13,691.0600000000001,908.39,801.71
2016,7256.99,2996.18,691.46,887.95,767.42
2017,7262.57,2944.54,691.69,867.6,733.61
2018,7251.69,2908.55,692.09,846.62,701.0600000000001
2019,7266.99,2762.76,685.08,824.12,661.14
2020,7291.9800000000005,2683.39,682.23,809.25,633.17
