time,valueA,valueB,valueC
2000,632.43,1190.2,1327.15
2001,649.08,1210.7,1295.1
2002,657.76,1193.71,1258.96
2003,665.82,1174.28,1221.72
2004,672.01,1154.95,1184.65
2005,674.67,1133.51,1154.92
2006,683.09,1121.04,1120.48
2007,683.07,1096.59,1086.18
2008,691.04,1073.3,1050.31
2009,691.59,1050.54,1013.89
2010,691.8,1026.35,977.59
2011,691.82,1002.22,941.93
2012,692.0,978.06,907.1
2013,692.07,954.67,872.66
2014,692.59,932.02,838.17
2015,691.06,908.39,801.71
2016,691.46,887.95,767.42
2017,691.69,867.6,733.61
2018,692.09,846.62,701.06
2019,685.08,824.12,661.14
2020,682.23,809.25,633.17
